emd_cd,emd_eng_nm,법정구명,emd_kor_nm,val1
11140122,Hoehyeon-dong 2(i)-ga, 중구,회현동2가,367
11140123,Hoehyeon-dong 3(sam)-ga, 중구,회현동3가,344
11140124,Chungmuro 1(il)-ga, 중구,충무로1가,368
11140125,Chungmuro 2(i)-ga, 중구,충무로2가,372
11140126,Myeong-dong 1(il)-ga, 중구,명동1가,373
11140127,Myeong-dong 2(i)-ga, 중구,명동2가,374
11140128,Namsan-dong 1(il)-ga, 중구,남산동1가,375
11140129,Namsan-dong 2(i)-ga, 중구,남산동2가,376
11140130,Namsan-dong 3(sam)-ga, 중구,남산동3가,377
11140131,Jeo-dong 1(il)-ga, 중구,저동1가,353
11140132,Chungmuro 4(sa)-ga, 중구,충무로4가,378
11140133,Chungmuro 5(o)-ga, 중구,충무로5가,355
11140134,Inhyeon-dong 2(i)-ga, 중구,인현동2가,379
11140135,Yegwan-dong, 중구,예관동,382
11140136,Mukjeong-dong, 중구,묵정동,383
11140137,Pil-dong 1(il)-ga, 중구,필동1가,364
11140138,Pildong 2(i)-ga, 중구,필동2가,384
11140139,Pil-dong 3(sam)-ga, 중구,필동3가,385
11140140,Namhak-dong, 중구,남학동,369
11140141,Juja-dong, 중구,주자동,370
11140142,Yejang-dong, 중구,예장동,371
11140143,Jangchung-dong 1(il)-ga, 중구,장충동1가,386
11140144,Jangchung-dong 2(i)-ga, 중구,장충동2가,387
11140145,Gwanghui-dong 1(il)-ga, 중구,광희동1가,381
11140146,Gwanghui-dong 2(i)-ga, 중구,광희동2가,388
11140147,Ssangnim-dong, 중구,쌍림동,390
11140148,Euljiro 6(yuk)-ga, 중구,을지로6가,389
11140149,Euljiro 7(chil)-ga, 중구,을지로7가,391
11140150,Euljiro 4(sa)-ga, 중구,을지로4가,230
11140151,Euljiro 5(o)-ga, 중구,을지로5가,392
11140152,Jugyo-dong, 중구,주교동,393
11140153,Bangsan-dong, 중구,방산동,395
11140154,Ojang-dong, 중구,오장동,396
11140155,Euljiro 3(sam)-ga, 중구,을지로3가,398
11140156,Ipjeong-dong, 중구,입정동,233
11140157,Sallim-dong, 중구,산림동,236
11140158,Chungmuro 3(sam)-ga, 중구,충무로3가,106
11140159,Cho-dong, 중구,초동,399
11140160,Inhyeon-dong 1(il)-ga, 중구,인현동1가,401
11140161,Jeo-dong 2(i)-ga, 중구,저동2가,402
11140162,Sindang-dong, 중구,신당동,403
11140163,Heungin-dong, 중구,흥인동,174
11140164,Muhak-dong, 중구,무학동,175
11140165,Hwanghak-dong, 중구,황학동,404
11140166,Seosomun-dong, 중구,서소문동,405
11140167,Jeong-dong, 중구,정동,407
11140168,Sunhwa-dong, 중구,순화동,408
11140169,Uijuro 1(il)-ga, 중구,의주로1가,176
11140170,Chungjeongno 1(il)-ga, 중구,충정로1가,177
11140171,Jungnim-dong, 중구,중림동,178
11140172,Uijuro 2(i)-ga, 중구,의주로2가,469
11140173,Malli-dong 1(il)-ga, 중구,만리동1가,409
11140174,Malli-dong 2(i)-ga, 중구,만리동2가,410
11170101,Huam-dong, 용산구,후암동,411
11170102,yongsan-dong  2(i)-ga, 용산구,용산동2가,412
11170103,Yongsan-dong 4(sa)-ga, 용산구,용산동4가,413
11170104,Garwol-dong, 용산구,갈월동,415
11170105,Namyeong-dong, 용산구,남영동,417
11170106,Yongsan-dong 1(il)-ga, 용산구,용산동1가,418
11170107,Dongja-dong, 용산구,동자동,420
11170108,Seogye-dong, 용산구,서계동,421
11170109,Cheongpa-dong 1(il)-ga, 용산구,청파동1가,423
11170110,Cheongpa-dong 2(i)-ga, 용산구,청파동2가,424
11170111,Cheongpa-dong 3(sam)-ga, 용산구,청파동3가,425
